Algorithm,Environment,EnvID,Seed,Timesteps,EvalEpisodes,Final_Reward_Mean,Final_Reward_Std,Final_Reward_Min,Final_Reward_Max,Training_Seconds,Reward_Per_Hour,InputShape,InputDType,InputRange,InputLayout,InputContiguous,NumEnvs,CheckpointDir,FinalModelPath,DiagnosticsPath,EvalDeterministic,PlaybackDir,PlaybackSteps,PlaybackActionCounts,PlaybackActionMeanings,PlaybackDeterministic,PlaybackTruncatedByStepLimit,Status,FailureReason,Profile,ConfigHash
DQN,Pong,ALE/Pong-v5,0,1000000,100,-9.71,4.181614521,-17,6,1762.834921,-19.82942338,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,TRUE,1,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\pong\seed_0,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\pong\seed_0\final_model.zip,completed,,1m_5seeds,703808ac18968388,,,,,,,,
DQN,Pong,ALE/Pong-v5,1,1000000,100,-19.8,1.104536102,-21,-17,1747.314542,-40.79402895,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,TRUE,1,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\pong\seed_1,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\pong\seed_1\final_model.zip,completed,,1m_5seeds,703808ac18968388,,,,,,,,
DQN,Pong,ALE/Pong-v5,2,1000000,100,-16.11,2.378634062,-21,-9,1736.219942,-33.40360205,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,TRUE,1,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\pong\seed_2,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\pong\seed_2\final_model.zip,completed,,1m_5seeds,703808ac18968388,,,,,,,,
DQN,Pong,ALE/Pong-v5,3,1000000,100,1.13,7.974528199,-13,17,1765.203439,2.304550235,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,TRUE,1,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\pong\seed_3,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\pong\seed_3\final_model.zip,completed,,1m_5seeds,703808ac18968388,,,,,,,,
DQN,Pong,ALE/Pong-v5,4,1000000,100,3.78,6.944897407,-10,19,1734.227687,7.846720533,"(4, 84, 84)",uint8,"[64.0, 179.0]",CHW,TRUE,1,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\pong\seed_4,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\pong\seed_4\final_model.zip,completed,,1m_5seeds,703808ac18968388,,,,,,,,
DQN,Breakout,ALE/Breakout-v5,0,1000000,100,19.46,7.872001016,4,41,1802.420304,38.86773793,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,TRUE,1,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\breakout\seed_0,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\breakout\seed_0\final_model.zip,completed,,1m_5seeds,703808ac18968388,,,,,,,,
DQN,Breakout,ALE/Breakout-v5,1,1000000,100,11.41,7.007274791,2,39,1808.354914,22.71456763,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,TRUE,1,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\breakout\seed_1,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\breakout\seed_1\final_model.zip,completed,,1m_5seeds,703808ac18968388,,,,,,,,
DQN,Breakout,ALE/Breakout-v5,2,1000000,100,10.53,4.541926904,3,27,1794.209845,21.12796343,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,TRUE,1,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\breakout\seed_2,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\breakout\seed_2\final_model.zip,completed,,1m_5seeds,703808ac18968388,,,,,,,,
DQN,Breakout,ALE/Breakout-v5,3,1000000,100,15.65,7.879562171,3,33,1804.941096,31.21431504,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,TRUE,1,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\breakout\seed_3,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\breakout\seed_3\final_model.zip,completed,,1m_5seeds,703808ac18968388,,,,,,,,
DQN,Breakout,ALE/Breakout-v5,4,1000000,100,16.26,10.46386162,1,43,1804.451298,32.43977827,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,TRUE,1,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\breakout\seed_4,E:\career\projects\atari-rl-benchmarking\evals\results\1m_5seeds\checkpoints\dqn\breakout\seed_4\final_model.zip,completed,,1m_5seeds,703808ac18968388,,,,,,,,
