Timesteps,Epsilon,BufferSize,TotalActions,IntervalActions,TotalActionEntropy,IntervalActionEntropy,TargetEntropy,QBackupMode,QClipValue,TargetUpdateInterval,EntropyPenaltyCoef,MeanQ,MeanTargetQ,MeanQGap,ActorEntropy,Alpha,LogAlpha,ActorLoss,Q1Loss,Q2Loss,AlphaLoss,EntropyPenalty,PolicyMeanProbs,BatchGreedyActions
50000,0.0,50000,"{""0"": 12501, ""1"": 12542, ""2"": 12437, ""3"": 12520}","{""0"": 12501, ""1"": 12542, ""2"": 12437, ""3"": 12520}",1.386289,1.386289,1.233802,min,,8000,0.0,2.259413003921509,2.227175712585449,0.061599843204021454,1.3862642049789429,0.16528671979904175,-1.8000736236572266,-2.4885354042053223,0.056030116975307465,0.054405421018600464,0.025205623358488083,0.0,"[0.2493874579668045, 0.2529488503932953, 0.2501130700111389, 0.24755063652992249]","{""1"": 64}"
100000,0.0,100000,"{""0"": 24578, ""1"": 25186, ""2"": 25949, ""3"": 24287}","{""0"": 12077, ""1"": 12644, ""2"": 13512, ""3"": 11767}",1.385971,1.384897,1.233802,min,,8000,0.0,1.8681738376617432,1.881396770477295,0.025328923016786575,1.2542529106140137,0.017981640994548798,-4.018404006958008,-1.8976720571517944,0.0027191133704036474,0.002372568240389228,0.0003677512868307531,0.0,"[0.21193839609622955, 0.22684898972511292, 0.30049455165863037, 0.26071810722351074]","{""1"": 7, ""2"": 21, ""3"": 36}"
150000,0.0,100000,"{""0"": 37020, ""1"": 38346, ""2"": 38479, ""3"": 36155}","{""0"": 12442, ""1"": 13160, ""2"": 12530, ""3"": 11868}",1.385963,1.385623,1.233802,min,,8000,0.0,1.6926077604293823,1.6970094442367554,0.035047803074121475,1.244865894317627,0.046268854290246964,-3.073286294937134,-1.778790831565857,0.010223157703876495,0.009218329563736916,0.0005118619883432984,0.0,"[0.22142624855041504, 0.22576424479484558, 0.25027069449424744, 0.30253878235816956]","{""0"": 5, ""1"": 15, ""2"": 17, ""3"": 27}"
200000,0.0,100000,"{""0"": 49495, ""1"": 51337, ""2"": 50570, ""3"": 48598}","{""0"": 12475, ""1"": 12991, ""2"": 12091, ""3"": 12443}",1.386078,1.385966,1.233802,min,,8000,0.0,2.287170648574829,2.3527748584747314,0.055143650621175766,1.2518310546875,0.07197082042694092,-2.6314945220947266,-2.3996706008911133,0.009898780845105648,0.012348856776952744,0.0012975161662325263,0.0,"[0.23982226848602295, 0.2512151002883911, 0.23798835277557373, 0.2709743082523346]","{""0"": 12, ""1"": 9, ""2"": 19, ""3"": 24}"
250000,0.0,100000,"{""0"": 62894, ""1"": 64747, ""2"": 61641, ""3"": 60718}","{""0"": 13399, ""1"": 13410, ""2"": 11071, ""3"": 12120}",1.386003,1.383199,1.233802,min,,8000,0.0,2.3242993354797363,2.3631184101104736,0.043653808534145355,1.2052714824676514,0.06000316143035889,-2.8133580684661865,-2.4409871101379395,0.004052413627505302,0.0029327557422220707,-0.0017119894037023187,0.0,"[0.26123422384262085, 0.26966655254364014, 0.2131899893283844, 0.2559092044830322]","{""0"": 11, ""1"": 18, ""2"": 22, ""3"": 13}"
300000,0.0,100000,"{""0"": 76514, ""1"": 78226, ""2"": 72418, ""3"": 72842}","{""0"": 13620, ""1"": 13479, ""2"": 10777, ""3"": 12124}",1.385761,1.381965,1.233802,min,,8000,0.0,2.286517381668091,2.328329086303711,0.0446108803153038,1.2630754709243774,0.0593079999089241,-2.8250110149383545,-2.3906939029693604,0.002465456025674939,0.003164702095091343,0.0017363779479637742,0.0,"[0.25785788893699646, 0.2694075107574463, 0.22961241006851196, 0.24312222003936768]","{""0"": 7, ""1"": 23, ""2"": 17, ""3"": 17}"
350000,0.0,100000,"{""0"": 89753, ""1"": 91461, ""2"": 83193, ""3"": 85593}","{""0"": 13239, ""1"": 13235, ""2"": 10775, ""3"": 12751}",1.385592,1.382894,1.233802,min,,8000,0.0,2.098625421524048,2.1497550010681152,0.043743766844272614,1.2568228244781494,0.05089670792222023,-2.977957010269165,-2.19699764251709,0.002696314826607704,0.004753414075821638,0.001171757816337049,0.0,"[0.25333499908447266, 0.25347864627838135, 0.269789457321167, 0.223396897315979]","{""0"": 17, ""1"": 7, ""2"": 21, ""3"": 19}"
400000,0.0,100000,"{""0"": 102997, ""1"": 104555, ""2"": 94306, ""3"": 98142}","{""0"": 13244, ""1"": 13094, ""2"": 11113, ""3"": 12549}",1.385471,1.383981,1.233802,min,,8000,0.0,2.0431344509124756,2.1198952198028564,0.06584326922893524,1.1154711246490479,0.0484522245824337,-3.027177095413208,-2.1468746662139893,0.004082229919731617,0.0034764595329761505,-0.005733111407607794,0.0,"[0.25088590383529663, 0.23912498354911804, 0.21008378267288208, 0.29990532994270325]","{""0"": 20, ""1"": 7, ""2"": 14, ""3"": 23}"
450000,0.0,100000,"{""0"": 116262, ""1"": 117388, ""2"": 105354, ""3"": 110996}","{""0"": 13265, ""1"": 12833, ""2"": 11048, ""3"": 12854}",1.385386,1.383892,1.233802,min,,8000,0.0,2.1080260276794434,2.158989906311035,0.05582483857870102,1.2018678188323975,0.040489859879016876,-3.2067036628723145,-2.1864709854125977,0.006437540985643864,0.004400007426738739,-0.0012928408104926348,0.0,"[0.2684532403945923, 0.27617529034614563, 0.23911666870117188, 0.2162548005580902]","{""0"": 13, ""1"": 17, ""2"": 15, ""3"": 19}"
500000,0.0,100000,"{""0"": 129019, ""1"": 130185, ""2"": 116497, ""3"": 124299}","{""0"": 12757, ""1"": 12797, ""2"": 11143, ""3"": 13303}",1.385358,1.384137,1.233802,min,,8000,0.0,2.2987241744995117,2.3202133178710938,0.04216965287923813,1.2719533443450928,0.03938570246100426,-3.2343523502349854,-2.365856170654297,0.006405852735042572,0.008579807355999947,0.0015030059730634093,0.0,"[0.2630592882633209, 0.2469998300075531, 0.2687928080558777, 0.2211480736732483]","{""0"": 14, ""1"": 7, ""2"": 27, ""3"": 16}"
