Timesteps,RolloutActions,RolloutActionEntropy,RolloutDominantAction,RolloutDominantActionFraction,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_policy_gradient_loss,train_value_loss,rollout_ep_len_mean,rollout_ep_rew_mean
1024,"{""0"": 227, ""1"": 277, ""2"": 237, ""3"": 283}",1.381757,3,0.276367,,,,,,,,,,,
2048,"{""0"": 237, ""1"": 231, ""2"": 287, ""3"": 269}",1.382275,2,0.280273,0.0016110187862068415,0.0,0.0998976,-1.3854591771960258,-0.012144804000854492,0.000249744,0.010211457498371601,-0.002849683602107689,0.09030317002907395,,
3072,"{""0"": 255, ""1"": 246, ""2"": 265, ""3"": 258}",1.385939,2,0.258789,0.0001406277297064662,0.0,0.0997952,-1.384109415113926,0.014302730560302734,0.00024948799999999997,0.014937253668904305,-0.0001623480929993093,0.06104296259582043,,
4096,"{""0"": 250, ""1"": 262, ""2"": 256, ""3"": 256}",1.386157,1,0.255859,0.00035511708119884133,0.0,0.09969280000000001,-1.3855973333120346,0.043169260025024414,0.000249232,0.020335301756858826,-0.0005431185127235949,0.08278606459498405,,
5120,"{""0"": 265, ""1"": 227, ""2"": 258, ""3"": 274}",1.383862,3,0.267578,5.9356214478611946e-05,0.0,0.09959040000000001,-1.385984092950821,0.06703335046768188,0.000248976,0.01716548018157482,-8.11124627944082e-05,0.06470505427569151,,
6144,"{""0"": 269, ""1"": 263, ""2"": 262, ""3"": 230}",1.384481,0,0.262695,2.9828050173819065e-05,0.0,0.09948800000000001,-1.3854985311627388,0.16473376750946045,0.00024872,0.02477100118994713,1.9882034393958747e-05,0.07164559257216752,,
7168,"{""0"": 219, ""1"": 253, ""2"": 329, ""3"": 223}",1.372042,2,0.321289,0.0012706799898296595,0.009765625,0.0993856,-1.3849631994962692,0.3006165623664856,0.000248464,0.006967388093471527,-0.0019049911061301827,0.0709430119022727,,
8192,"{""0"": 216, ""1"": 233, ""2"": 294, ""3"": 281}",1.378247,2,0.287109,0.000810953788459301,0.020751953125,0.09928320000000002,-1.3773893415927887,0.4066542983055115,0.00024820800000000003,0.013131489977240562,-0.0008963604632299393,0.0662040754687041,,
9216,"{""0"": 243, ""1"": 284, ""2"": 289, ""3"": 208}",1.377831,2,0.282227,0.00154154933989048,0.0185546875,0.09918080000000001,-1.3775175362825394,0.6385879516601562,0.000247952,-0.003428119234740734,-0.0012984119239263237,0.027282210998237133,,
10240,"{""0"": 243, ""1"": 278, ""2"": 291, ""3"": 212}",1.378907,2,0.28418,0.0010989781003445387,0.0,0.09907840000000001,-1.3758358135819435,0.5191261172294617,0.000247696,0.003967294469475746,-0.0003265530103817582,0.061002476839348674,,
11264,"{""0"": 210, ""1"": 277, ""2"": 325, ""3"": 212}",1.368889,2,0.317383,0.0019704047590494156,0.1298828125,0.09897600000000001,-1.3714450299739838,0.6032299995422363,0.00024744,-0.0019394215196371078,-0.005342043732525781,0.04430699581280351,,
12288,"{""0"": 219, ""1"": 304, ""2"": 297, ""3"": 204}",1.37081,1,0.296875,0.0007922524819150567,0.0,0.0988736,-1.368592992424965,0.6792805194854736,0.000247184,-0.004939097911119461,-0.00040270056342706084,0.028377276612445712,,
13312,"{""0"": 239, ""1"": 246, ""2"": 330, ""3"": 209}",1.371477,2,0.322266,0.0027550444938242435,0.09033203125,0.0987712,-1.367736540734768,0.7424923181533813,0.000246928,0.007739217020571232,-0.0019826277275569737,0.04368677572347224,,
14336,"{""0"": 246, ""1"": 254, ""2"": 321, ""3"": 203}",1.37287,2,0.313477,0.002914923243224621,0.1123046875,0.0986688,-1.357604630291462,0.8343597054481506,0.000246672,-0.011174988001585007,-0.0015212524740491062,0.026540959370322526,,
15360,"{""0"": 219, ""1"": 254, ""2"": 386, ""3"": 165}",1.337601,2,0.376953,0.002590192947536707,0.0390625,0.0985664,-1.3544571250677109,0.8949946761131287,0.000246416,1.9825994968414307e-05,-0.0006517908186651766,0.01735258213011548,,
16384,"{""0"": 225, ""1"": 244, ""2"": 391, ""3"": 164}",1.335696,2,0.381836,0.0023370140697807074,0.196533203125,0.098464,-1.3525988310575485,0.8663893342018127,0.00024616,-0.009486887603998184,-0.004376681114081293,0.03198301512748003,,
17408,"{""0"": 189, ""1"": 266, ""2"": 400, ""3"": 169}",1.326551,2,0.390625,0.0021185344085097313,0.017333984375,0.09836160000000001,-1.3337382823228836,0.9186230301856995,0.000245904,-0.011755639687180519,-0.0009161417256109416,0.018130713724531233,,
18432,"{""0"": 176, ""1"": 279, ""2"": 389, ""3"": 180}",1.330224,2,0.379883,0.0018401223933324218,0.0458984375,0.0982592,-1.3223087787628174,0.896308183670044,0.000245648,-0.004174492321908474,-0.0017687395447865129,0.024880557088181376,,
19456,"{""0"": 172, ""1"": 317, ""2"": 408, ""3"": 127}",1.288162,2,0.398438,0.0015878666890785098,0.00830078125,0.0981568,-1.3118279948830605,0.8945851922035217,0.000245392,-0.004019256681203842,-0.000933267583604902,0.03221044241217896,,
20480,"{""0"": 177, ""1"": 284, ""2"": 402, ""3"": 161}",1.317051,2,0.392578,0.0017096803057938814,0.073974609375,0.0980544,-1.3097990080714226,0.9024730324745178,0.000245136,5.33275306224823e-06,-0.001996310194954276,0.028394240129273385,,
21504,"{""0"": 168, ""1"": 307, ""2"": 409, ""3"": 140}",1.296308,2,0.399414,0.001120854401960969,0.08251953125,0.097952,-1.2953512966632843,0.9722139835357666,0.00024488,-0.012985517270863056,-0.0021452635410241783,0.00859252773807384,,
22528,"{""0"": 168, ""1"": 268, ""2"": 404, ""3"": 184}",1.322751,2,0.394531,0.002523645292967558,0.0498046875,0.09784960000000001,-1.2818616181612015,0.9883354306221008,0.00024462400000000003,-0.010592572391033173,-0.0025021516485139728,0.00456631847191602,,
