Timesteps,Epsilon,BufferSize,TotalActions,IntervalActions,TotalActionEntropy,IntervalActionEntropy,TargetEntropy,QBackupMode,QClipValue,TargetUpdateInterval,EntropyPenaltyCoef,MeanQ,MeanTargetQ,MeanQGap,ActorEntropy,Alpha,LogAlpha,ActorLoss,Q1Loss,Q2Loss,AlphaLoss,EntropyPenalty,PolicyMeanProbs,BatchGreedyActions
50000,0.0,50000,"{""0"": 8345, ""1"": 8323, ""2"": 8302, ""3"": 8175, ""4"": 8436, ""5"": 8419}","{""0"": 8345, ""1"": 8323, ""2"": 8302, ""3"": 8175, ""4"": 8436, ""5"": 8419}",1.791706,1.791706,1.594666,min,,8000,0.0,2.9606571197509766,2.9583804607391357,0.10487809777259827,1.7917442321777344,0.16516552865505219,-1.8008071184158325,-3.2567081451416016,0.006555752828717232,0.003782352665439248,0.03255783021450043,0.0,"[0.1673617959022522, 0.1660943180322647, 0.1650296449661255, 0.16654732823371887, 0.1671416014432907, 0.16782531142234802]","{""5"": 64}"
100000,0.0,100000,"{""0"": 16189, ""1"": 16086, ""2"": 17005, ""3"": 16696, ""4"": 17044, ""5"": 16980}","{""0"": 7844, ""1"": 7763, ""2"": 8703, ""3"": 8521, ""4"": 8608, ""5"": 8561}",1.791482,1.790712,1.594666,min,,8000,0.0,2.7284178733825684,2.78861141204834,0.04273853823542595,1.7686623334884644,0.01055839378386736,-4.5508341789245605,-2.747645854949951,0.004612613469362259,0.007897167466580868,0.0018374542705714703,0.0,"[0.11956439912319183, 0.12783971428871155, 0.17839430272579193, 0.19550013542175293, 0.1584528684616089, 0.22024857997894287]","{""5"": 64}"
150000,0.0,100000,"{""0"": 23648, ""1"": 23788, ""2"": 26051, ""3"": 24612, ""4"": 26627, ""5"": 25274}","{""0"": 7459, ""1"": 7702, ""2"": 9046, ""3"": 7916, ""4"": 9583, ""5"": 8294}",1.790791,1.787723,1.594666,min,,8000,0.0,2.5494649410247803,2.5663278102874756,0.03778534755110741,1.780890941619873,0.0067379469983279705,-5.0,-2.561188220977783,0.007109646685421467,0.008968314155936241,0.0012547745136544108,0.0,"[0.14609239995479584, 0.1450192779302597, 0.18418358266353607, 0.1541469544172287, 0.21470826864242554, 0.15584954619407654]","{""4"": 64}"
200000,0.0,100000,"{""0"": 30619, ""1"": 30820, ""2"": 34652, ""3"": 33415, ""4"": 35698, ""5"": 34796}","{""0"": 6971, ""1"": 7032, ""2"": 8601, ""3"": 8803, ""4"": 9071, ""5"": 9522}",1.790008,1.784653,1.594666,min,,8000,0.0,2.0511274337768555,2.066178560256958,0.028831152245402336,1.7771787643432617,0.0067379469983279705,-5.0,-2.0621800422668457,0.010676857084035873,0.010736558586359024,0.001229761866852641,0.0,"[0.13904574513435364, 0.13782568275928497, 0.17227886617183685, 0.17612813413143158, 0.15210378170013428, 0.22261779010295868]","{""5"": 64}"
250000,0.0,100000,"{""0"": 38525, ""1"": 37028, ""2"": 42033, ""3"": 44330, ""4"": 42011, ""5"": 46073}","{""0"": 7906, ""1"": 6208, ""2"": 7381, ""3"": 10915, ""4"": 6313, ""5"": 11277}",1.788954,1.76247,1.594666,min,,8000,0.0,1.7763160467147827,1.7894231081008911,0.03428848832845688,1.7763383388519287,0.0067379469983279705,-5.0,-1.7885136604309082,0.005503907799720764,0.005153285805135965,0.0012240996584296227,0.0,"[0.15916365385055542, 0.12706658244132996, 0.1707707643508911, 0.20956102013587952, 0.13800135254859924, 0.19543665647506714]","{""3"": 64}"
300000,0.0,100000,"{""0"": 46766, ""1"": 44105, ""2"": 49517, ""3"": 54974, ""4"": 48497, ""5"": 56141}","{""0"": 8241, ""1"": 7077, ""2"": 7484, ""3"": 10644, ""4"": 6486, ""5"": 10068}",1.788105,1.77515,1.594666,min,,8000,0.0,1.4643949270248413,1.4810311794281006,0.026403700932860374,1.783693790435791,0.0067379469983279705,-5.0,-1.47670578956604,0.0028831600211560726,0.0035275393165647984,0.0012736599892377853,0.0,"[0.17876601219177246, 0.1583985537290573, 0.13839109241962433, 0.18951918184757233, 0.1437193602323532, 0.19120582938194275]","{""5"": 64}"
350000,0.0,100000,"{""0"": 55600, ""1"": 51235, ""2"": 56770, ""3"": 64774, ""4"": 55940, ""5"": 65681}","{""0"": 8834, ""1"": 7130, ""2"": 7253, ""3"": 9800, ""4"": 7443, ""5"": 9540}",1.787833,1.783074,1.594666,min,,8000,0.0,1.0766133069992065,1.0788822174072266,0.022463178262114525,1.760472059249878,0.0067379469983279705,-5.0,-1.0884222984313965,0.00848180428147316,0.00933575164526701,0.0011171938385814428,0.0,"[0.18976296484470367, 0.16219444572925568, 0.11531489342451096, 0.2108609676361084, 0.11208659410476685, 0.20978018641471863]","{""3"": 62, ""5"": 2}"
400000,0.0,100000,"{""0"": 63483, ""1"": 59285, ""2"": 63799, ""3"": 75515, ""4"": 62164, ""5"": 75754}","{""0"": 7883, ""1"": 8050, ""2"": 7029, ""3"": 10741, ""4"": 6224, ""5"": 10073}",1.78707,1.773628,1.594666,min,,8000,0.0,1.0284780263900757,1.04305899143219,0.028837857767939568,1.5345137119293213,0.00974278338253498,-4.631228446960449,-1.0494495630264282,0.0036794906482100487,0.004815531894564629,-0.0005859746597707272,0.0,"[0.138139009475708, 0.1252281814813614, 0.2118413746356964, 0.21432317793369293, 0.14146655797958374, 0.1690017133951187]","{""0"": 3, ""1"": 4, ""2"": 25, ""3"": 25, ""4"": 1, ""5"": 6}"
450000,0.0,100000,"{""0"": 70601, ""1"": 66581, ""2"": 71860, ""3"": 84925, ""4"": 70765, ""5"": 85268}","{""0"": 7118, ""1"": 7296, ""2"": 8061, ""3"": 9410, ""4"": 8601, ""5"": 9514}",1.787062,1.785437,1.594666,min,,8000,0.0,0.834734320640564,0.8584429621696472,0.03268718346953392,1.5454928874969482,0.012934989295899868,-4.3478193283081055,-0.8697858452796936,0.0035039742942899466,0.002618033206090331,-0.0006360675906762481,0.0,"[0.13256824016571045, 0.10274557769298553, 0.16919857263565063, 0.21588216722011566, 0.1649782508611679, 0.214627206325531]","{""0"": 4, ""1"": 2, ""2"": 16, ""3"": 19, ""4"": 7, ""5"": 16}"
500000,0.0,100000,"{""0"": 78703, ""1"": 74123, ""2"": 78918, ""3"": 94634, ""4"": 78386, ""5"": 95236}","{""0"": 8102, ""1"": 7542, ""2"": 7058, ""3"": 9709, ""4"": 7621, ""5"": 9968}",1.78681,1.783061,1.594666,min,,8000,0.0,0.773546576499939,0.8005210161209106,0.04624783247709274,1.6204876899719238,0.014881671406328678,-4.207624912261963,-0.8084108829498291,0.004935363307595253,0.005385232158005238,0.00038425857201218605,0.0,"[0.15483731031417847, 0.15728898346424103, 0.13957111537456512, 0.17006604373455048, 0.12364909052848816, 0.25458747148513794]","{""0"": 4, ""1"": 9, ""2"": 7, ""3"": 9, ""4"": 9, ""5"": 26}"
