Timesteps,Epsilon,BufferSize,TotalActions,IntervalActions,TotalActionEntropy,IntervalActionEntropy,TargetEntropy,QBackupMode,QClipValue,TargetUpdateInterval,EntropyPenaltyCoef,MeanQ,MeanTargetQ,MeanQGap,ActorEntropy,Alpha,LogAlpha,ActorLoss,Q1Loss,Q2Loss,AlphaLoss,EntropyPenalty,PolicyMeanProbs,BatchGreedyActions
50000,0.0,50000,"{""0"": 8429, ""1"": 8327, ""2"": 8426, ""3"": 8319, ""4"": 8316, ""5"": 8183}","{""0"": 8429, ""1"": 8327, ""2"": 8426, ""3"": 8319, ""4"": 8316, ""5"": 8183}",1.79171,1.79171,1.594666,min,,8000,0.0,3.029237747192383,3.0842766761779785,0.03502172604203224,1.7914499044418335,0.16526424884796143,-1.800209641456604,-3.3253631591796875,0.04103618115186691,0.036408137530088425,0.03252864629030228,0.0,"[0.16656960546970367, 0.16824598610401154, 0.16865430772304535, 0.1666749119758606, 0.16894564032554626, 0.16090954840183258]","{""0"": 1, ""1"": 36, ""2"": 12, ""3"": 3, ""4"": 12}"
100000,0.0,100000,"{""0"": 17127, ""1"": 17105, ""2"": 16682, ""3"": 16529, ""4"": 16896, ""5"": 15661}","{""0"": 8698, ""1"": 8778, ""2"": 8256, ""3"": 8210, ""4"": 8580, ""5"": 7478}",1.791308,1.790362,1.594666,min,,8000,0.0,3.0297298431396484,3.056361675262451,0.05727533623576164,1.7086702585220337,0.011163697578012943,-4.49508810043335,-3.052342653274536,0.1466095745563507,0.1448272317647934,0.0012728844303637743,0.0,"[0.20215263962745667, 0.18014366924762726, 0.12490496039390564, 0.1804940402507782, 0.19776378571987152, 0.11454088985919952]","{""0"": 18, ""1"": 5, ""3"": 7, ""4"": 27, ""5"": 7}"
150000,0.0,100000,"{""0"": 24607, ""1"": 26558, ""2"": 24747, ""3"": 22130, ""4"": 29970, ""5"": 21988}","{""0"": 7480, ""1"": 9453, ""2"": 8065, ""3"": 5601, ""4"": 13074, ""5"": 6327}",1.785914,1.750966,1.594666,min,,8000,0.0,2.7728614807128906,2.8007192611694336,0.06611327826976776,1.5396292209625244,0.012740815989673138,-4.362944602966309,-2.7932825088500977,0.10906817764043808,0.10908059775829315,-0.0007010126137174666,0.0,"[0.08087629824876785, 0.21690133213996887, 0.21295678615570068, 0.0912775993347168, 0.278073787689209, 0.11991418898105621]","{""1"": 18, ""2"": 12, ""4"": 32, ""5"": 2}"
200000,0.0,100000,"{""0"": 30691, ""1"": 35864, ""2"": 31793, ""3"": 28702, ""4"": 40937, ""5"": 32013}","{""0"": 6084, ""1"": 9306, ""2"": 7046, ""3"": 6572, ""4"": 10967, ""5"": 10025}",1.784711,1.767057,1.594666,min,,8000,0.0,2.6875150203704834,2.774421453475952,0.08732953667640686,1.6338775157928467,0.024351293221116066,-3.715170383453369,-2.7359731197357178,0.013492168858647346,0.008581899106502533,0.0009550293907523155,0.0,"[0.14319323003292084, 0.1581360548734665, 0.1175183579325676, 0.13752055168151855, 0.22435808181762695, 0.21927371621131897]","{""0"": 5, ""1"": 7, ""2"": 2, ""3"": 2, ""4"": 22, ""5"": 26}"
250000,0.0,100000,"{""0"": 37888, ""1"": 44759, ""2"": 38586, ""3"": 36890, ""4"": 50074, ""5"": 41803}","{""0"": 7197, ""1"": 8895, ""2"": 6793, ""3"": 8188, ""4"": 9137, ""5"": 9790}",1.785811,1.783537,1.594666,min,,8000,0.0,2.6938490867614746,2.7129290103912354,0.09094451367855072,1.5202127695083618,0.030168168246746063,-3.5009679794311523,-2.7618908882141113,0.041743017733097076,0.03447732701897621,-0.002246000338345766,0.0,"[0.09208236634731293, 0.1725422441959381, 0.14190833270549774, 0.14286093413829803, 0.28342869877815247, 0.16717743873596191]","{""0"": 1, ""1"": 8, ""2"": 5, ""3"": 6, ""4"": 29, ""5"": 15}"
300000,0.0,100000,"{""0"": 45348, ""1"": 53295, ""2"": 46366, ""3"": 45385, ""4"": 58976, ""5"": 50630}","{""0"": 7460, ""1"": 8536, ""2"": 7780, ""3"": 8495, ""4"": 8902, ""5"": 8827}",1.786925,1.789688,1.594666,min,,8000,0.0,2.669309616088867,2.7045035362243652,0.07345728576183319,1.6110203266143799,0.032069407403469086,-3.439852714538574,-2.7368955612182617,0.010669023729860783,0.013223043642938137,0.0005244448548182845,0.0,"[0.1396743804216385, 0.17350344359874725, 0.15453973412513733, 0.16264602541923523, 0.1851493865251541, 0.1844870150089264]","{""0"": 3, ""1"": 14, ""2"": 7, ""3"": 8, ""4"": 19, ""5"": 13}"
350000,0.0,100000,"{""0"": 53125, ""1"": 62365, ""2"": 53414, ""3"": 54118, ""4"": 67108, ""5"": 59870}","{""0"": 7777, ""1"": 9070, ""2"": 7048, ""3"": 8733, ""4"": 8132, ""5"": 9240}",1.787774,1.787463,1.594666,min,,8000,0.0,3.0010218620300293,3.0585246086120605,0.06598132848739624,1.6289966106414795,0.038459230214357376,-3.2581565380096436,-3.0765743255615234,0.013443849049508572,0.009559888392686844,0.001320179901085794,0.0,"[0.15431827306747437, 0.148664653301239, 0.16570302844047546, 0.20257271826267242, 0.1414785534143448, 0.18726278841495514]","{""0"": 10, ""1"": 6, ""2"": 13, ""3"": 19, ""4"": 4, ""5"": 12}"
400000,0.0,100000,"{""0"": 60544, ""1"": 71584, ""2"": 60416, ""3"": 63158, ""4"": 74861, ""5"": 69437}","{""0"": 7419, ""1"": 9219, ""2"": 7002, ""3"": 9040, ""4"": 7753, ""5"": 9567}",1.788247,1.784818,1.594666,min,,8000,0.0,3.219287633895874,3.292073965072632,0.07671681046485901,1.5401463508605957,0.038087330758571625,-3.267873525619507,-3.3020119667053223,0.013081599026918411,0.019777469336986542,-0.0020762216299772263,0.0,"[0.14079977571964264, 0.17436708509922028, 0.16895844042301178, 0.163595050573349, 0.1551552414894104, 0.1971244215965271]","{""0"": 2, ""1"": 11, ""2"": 12, ""3"": 14, ""4"": 8, ""5"": 17}"
450000,0.0,100000,"{""0"": 68673, ""1"": 80701, ""2"": 67241, ""3"": 72758, ""4"": 81863, ""5"": 78764}","{""0"": 8129, ""1"": 9117, ""2"": 6825, ""3"": 9600, ""4"": 7002, ""5"": 9327}",1.788796,1.782857,1.594666,min,,8000,0.0,3.162379264831543,3.189431667327881,0.061044808477163315,1.6372992992401123,0.036465879529714584,-3.311378240585327,-3.238070249557495,0.017571184784173965,0.022044552490115166,0.0015547743532806635,0.0,"[0.16252772510051727, 0.16976121068000793, 0.14525984227657318, 0.19186079502105713, 0.14554426074028015, 0.18504618108272552]","{""0"": 12, ""1"": 6, ""2"": 7, ""3"": 21, ""4"": 6, ""5"": 12}"
500000,0.0,100000,"{""0"": 76785, ""1"": 89568, ""2"": 73841, ""3"": 82369, ""4"": 88899, ""5"": 88538}","{""0"": 8112, ""1"": 8867, ""2"": 6600, ""3"": 9611, ""4"": 7036, ""5"": 9774}",1.788957,1.781123,1.594666,min,,8000,0.0,3.077643871307373,3.0985305309295654,0.06251129508018494,1.6292647123336792,0.03452996909618378,-3.3659276962280273,-3.1497459411621094,0.02535579353570938,0.025766465812921524,0.001194775220938027,0.0,"[0.14969579875469208, 0.16510438919067383, 0.12062962353229523, 0.2059517353773117, 0.13875383138656616, 0.21986457705497742]","{""0"": 3, ""1"": 4, ""2"": 9, ""3"": 21, ""4"": 4, ""5"": 23}"
