Timesteps,RolloutActions,RolloutActionEntropy,RolloutDominantAction,RolloutDominantActionFraction,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_policy_gradient_loss,train_value_loss,rollout_ep_len_mean,rollout_ep_rew_mean
1024,"{""0"": 161, ""1"": 171, ""2"": 179, ""3"": 172, ""4"": 180, ""5"": 161}",1.790769,4,0.175781,,,,,,,,,,,
2048,"{""0"": 172, ""1"": 178, ""2"": 171, ""3"": 165, ""4"": 178, ""5"": 160}",1.791025,1,0.173828,0.0003184903762303293,0.0,0.0998976,-1.791606143116951,-0.014866948127746582,0.000249744,0.0365166999399662,-0.0010660715634003282,0.1324932356365025,,
3072,"{""0"": 185, ""1"": 174, ""2"": 179, ""3"": 146, ""4"": 192, ""5"": 148}",1.786338,4,0.1875,0.0007465030066668987,0.00390625,0.0997952,-1.7902559489011765,0.0036424994468688965,0.00024948799999999997,0.044141735881567,-0.0012264790711924434,0.12536557437852025,,
4096,"{""0"": 157, ""1"": 189, ""2"": 167, ""3"": 134, ""4"": 207, ""5"": 170}",1.782551,4,0.202148,0.0011435376945883036,0.013916015625,0.09969280000000001,-1.7863815426826477,-0.03424203395843506,0.000249232,0.04037635773420334,-0.0014084239955991507,0.16715015098452568,,
5120,"{""0"": 129, ""1"": 165, ""2"": 187, ""3"": 136, ""4"": 223, ""5"": 184}",1.774165,4,0.217773,0.0012042460730299354,0.014892578125,0.09959040000000001,-1.7799918055534363,0.19865530729293823,0.000248976,0.02961013652384281,-0.0002212284889537841,0.1533719631843269,,
6144,"{""0"": 167, ""1"": 182, ""2"": 163, ""3"": 121, ""4"": 223, ""5"": 168}",1.776168,4,0.217773,0.0015007865149527788,0.01318359375,0.09948800000000001,-1.778983011841774,-0.05549752712249756,0.00024872,0.028777021914720535,-0.00217722833622247,0.15263528004288673,,
7168,"{""0"": 185, ""1"": 169, ""2"": 143, ""3"": 141, ""4"": 217, ""5"": 169}",1.780523,4,0.211914,0.0013781622983515263,0.0234375,0.0993856,-1.7750675231218338,0.1353471279144287,0.000248464,0.04995498061180115,-0.0008688395610079169,0.21571154054254293,,
8192,"{""0"": 188, ""1"": 209, ""2"": 137, ""3"": 147, ""4"": 189, ""5"": 154}",1.780094,1,0.204102,0.0004258754779584706,0.0,0.09928320000000002,-1.7806032374501228,0.46733546257019043,0.00024820800000000003,0.02567427232861519,-0.0006763747660443187,0.1389637910760939,,
9216,"{""0"": 187, ""1"": 190, ""2"": 149, ""3"": 141, ""4"": 192, ""5"": 165}",1.784562,4,0.1875,0.002324075438082218,0.0361328125,0.09918080000000001,-1.777770772576332,0.34590595960617065,0.000247952,0.03817066550254822,-0.0022716160747222602,0.14652201067656279,,
10240,"{""0"": 174, ""1"": 178, ""2"": 125, ""3"": 148, ""4"": 236, ""5"": 163}",1.772385,4,0.230469,0.0024968802463263273,0.045654296875,0.09907840000000001,-1.776875488460064,0.3929603099822998,0.000247696,0.03786782547831535,-0.002138689946150407,0.1472182427532971,,
11264,"{""0"": 176, ""1"": 181, ""2"": 131, ""3"": 138, ""4"": 235, ""5"": 163}",1.772459,4,0.229492,0.002098670694977045,0.048583984375,0.09897600000000001,-1.7728897109627724,-0.2691997289657593,0.00024744,0.06328742206096649,-0.0023070294701028615,0.2334745330736041,,
12288,"{""0"": 163, ""1"": 215, ""2"": 153, ""3"": 126, ""4"": 203, ""5"": 164}",1.776241,1,0.209961,0.0006801541894674301,0.000244140625,0.0988736,-1.7740496695041656,0.3118836283683777,0.000247184,0.05017518997192383,-0.0005147965857759118,0.1783261587843299,,
13312,"{""0"": 160, ""1"": 203, ""2"": 142, ""3"": 129, ""4"": 217, ""5"": 173}",1.775018,4,0.211914,0.0010131543967872858,0.010498046875,0.0987712,-1.7689406797289848,0.4958333373069763,0.000246928,0.04639464616775513,-6.993970600888133e-05,0.18832187168300152,,
14336,"{""0"": 165, ""1"": 211, ""2"": 120, ""3"": 125, ""4"": 223, ""5"": 180}",1.76517,4,0.217773,0.001904148724861443,0.030517578125,0.0986688,-1.7709916606545448,0.462480366230011,0.000246672,0.04241812974214554,-0.0004888848052360117,0.19777364656329155,,
15360,"{""0"": 171, ""1"": 226, ""2"": 154, ""3"": 95, ""4"": 222, ""5"": 156}",1.755938,1,0.220703,0.0013679396361112595,0.023193359375,0.0985664,-1.7713672444224358,0.5250758528709412,0.000246416,0.050252847373485565,-0.0021118338918313384,0.17806900944560766,,
16384,"{""0"": 163, ""1"": 198, ""2"": 149, ""3"": 98, ""4"": 245, ""5"": 171}",1.756369,4,0.239258,0.003162421751767397,0.101806640625,0.098464,-1.7629004046320915,0.1803695559501648,0.00024616,0.09328395873308182,-0.0021457706461660564,0.2863101605325937,,
17408,"{""0"": 194, ""1"": 195, ""2"": 144, ""3"": 99, ""4"": 219, ""5"": 173}",1.763019,4,0.213867,0.002694056835025549,0.066650390625,0.09836160000000001,-1.774011641740799,0.2836199402809143,0.000245904,0.07823561877012253,-0.00010624559945426881,0.262346763163805,,
18432,"{""0"": 141, ""1"": 201, ""2"": 165, ""3"": 99, ""4"": 226, ""5"": 192}",1.759971,4,0.220703,0.0031082220375537872,0.09375,0.0982592,-1.7669160515069962,0.26950782537460327,0.000245648,0.02564525417983532,-0.002875325211789459,0.17434973362833261,,
19456,"{""0"": 149, ""1"": 203, ""2"": 163, ""3"": 121, ""4"": 198, ""5"": 190}",1.77644,1,0.198242,0.002030214760452509,0.0390625,0.0981568,-1.771084003150463,0.19189602136611938,0.000245392,0.05501094087958336,-0.0007407571538351476,0.205952612683177,,
20480,"{""0"": 154, ""1"": 183, ""2"": 151, ""3"": 148, ""4"": 194, ""5"": 194}",1.784839,4,0.189453,0.0012770136818289757,0.014892578125,0.0980544,-1.7799271047115326,0.2868652939796448,0.000245136,0.07642052322626114,-0.0013846142683178186,0.25942222960293293,,
21504,"{""0"": 175, ""1"": 175, ""2"": 169, ""3"": 105, ""4"": 232, ""5"": 168}",1.767641,4,0.226562,0.0013939039781689644,0.01513671875,0.097952,-1.775549441576004,0.7261037826538086,0.00024488,0.038309428840875626,-0.001323845295701176,0.1601615073159337,,
22528,"{""0"": 154, ""1"": 199, ""2"": 157, ""3"": 108, ""4"": 235, ""5"": 171}",1.764688,4,0.229492,0.0018416340462863445,0.03466796875,0.09784960000000001,-1.765443429350853,0.4900527596473694,0.00024462400000000003,0.09004929661750793,-0.0013631511246785522,0.2798665827140212,,
23552,"{""0"": 131, ""1"": 213, ""2"": 187, ""3"": 83, ""4"": 246, ""5"": 164}",1.739795,4,0.240234,0.0036125562619417906,0.137939453125,0.0977472,-1.752045214176178,0.5911263227462769,0.000244368,0.03830961138010025,-0.004231213475577533,0.17989558400586247,,
24576,"{""0"": 159, ""1"": 206, ""2"": 171, ""3"": 91, ""4"": 239, ""5"": 158}",1.753761,4,0.233398,0.0015616810414940119,0.013671875,0.0976448,-1.7535263150930405,0.1577252745628357,0.000244112,0.07993301749229431,-0.0009391155908815563,0.2971344655379653,,
25600,"{""0"": 123, ""1"": 221, ""2"": 185, ""3"": 77, ""4"": 252, ""5"": 166}",1.729189,4,0.246094,0.0023876752238720655,0.095947265625,0.0975424,-1.7409599050879478,0.08850270509719849,0.000243856,0.056617844849824905,-0.0004546550917439163,0.22731060534715652,,
26624,"{""0"": 130, ""1"": 235, ""2"": 178, ""3"": 85, ""4"": 228, ""5"": 168}",1.741548,1,0.229492,0.000788225035648793,0.006103515625,0.09744000000000001,-1.7337071150541306,0.2428959608078003,0.0002436,0.06280951201915741,-0.0006183251389302313,0.23516858275979757,,
27648,"{""0"": 141, ""1"": 231, ""2"": 153, ""3"": 92, ""4"": 250, ""5"": 157}",1.741207,4,0.244141,0.0013773441314697266,0.05908203125,0.09733760000000001,-1.7131271064281464,0.3090243339538574,0.00024334400000000002,0.06901300698518753,-0.0015077845891937613,0.2107733404263854,,
28672,"{""0"": 111, ""1"": 220, ""2"": 188, ""3"": 73, ""4"": 274, ""5"": 158}",1.711845,4,0.267578,0.003317202441394329,0.067138671875,0.09723520000000001,-1.7197888419032097,0.30758219957351685,0.000243088,0.09149249643087387,-0.001928801997564733,0.29064122401177883,,
29696,"{""0"": 122, ""1"": 221, ""2"": 163, ""3"": 84, ""4"": 308, ""5"": 126}",1.701202,4,0.300781,0.004061110317707062,0.165771484375,0.0971328,-1.7134074121713638,0.18594467639923096,0.000242832,0.09419660270214081,-0.002320139348739758,0.29051871318370104,,
30720,"{""0"": 104, ""1"": 223, ""2"": 173, ""3"": 81, ""4"": 314, ""5"": 129}",1.688785,4,0.306641,0.0015323348343372345,0.115478515625,0.09703040000000002,-1.6944349557161331,0.3474556803703308,0.00024257600000000002,0.11265294998884201,-0.0012056598498020321,0.3207454141229391,,
31744,"{""0"": 128, ""1"": 232, ""2"": 177, ""3"": 84, ""4"": 282, ""5"": 121}",1.712352,4,0.275391,0.0015135935973376036,0.05126953125,0.09692800000000001,-1.7229682952165604,0.45333003997802734,0.00024232000000000002,0.09311950206756592,0.0006015529506839812,0.3295883806422353,,
32768,"{""0"": 104, ""1"": 202, ""2"": 240, ""3"": 73, ""4"": 280, ""5"": 125}",1.692093,4,0.273438,0.001716748345643282,0.035400390625,0.09682560000000001,-1.7101945132017136,0.2513529062271118,0.000242064,0.11601018905639648,-1.7460377421230078e-05,0.3798379832878709,,
33792,"{""0"": 113, ""1"": 198, ""2"": 206, ""3"": 93, ""4"": 262, ""5"": 152}",1.733345,4,0.255859,0.002702329307794571,0.13671875,0.09672320000000001,-1.7289818301796913,0.41022390127182007,0.000241808,0.09147019684314728,-0.002171066909795627,0.28730921540409327,,
34816,"{""0"": 130, ""1"": 199, ""2"": 193, ""3"": 84, ""4"": 284, ""5"": 134}",1.721849,4,0.277344,0.001546934014186263,0.097900390625,0.0966208,-1.7108497992157936,0.34675490856170654,0.000241552,0.10650070011615753,-0.0026078062946908176,0.29815293569117785,,
35840,"{""0"": 101, ""1"": 206, ""2"": 258, ""3"": 70, ""4"": 265, ""5"": 124}",1.687262,4,0.258789,0.0012299338122829795,0.07763671875,0.0965184,-1.6948815733194351,0.6612621545791626,0.00024129600000000003,0.07450006902217865,-0.0016970089636743069,0.2265355819836259,,
36864,"{""0"": 103, ""1"": 195, ""2"": 244, ""3"": 93, ""4"": 239, ""5"": 150}",1.727446,2,0.238281,0.002620844403281808,0.053466796875,0.096416,-1.7051356509327888,0.5616717338562012,0.00024104,0.08745510131120682,-0.0015491392114199698,0.28982225246727467,,
37888,"{""0"": 110, ""1"": 195, ""2"": 257, ""3"": 87, ""4"": 250, ""5"": 125}",1.712879,2,0.250977,0.002510645892471075,0.0791015625,0.0963136,-1.716505192220211,0.5914429426193237,0.000240784,0.07018237560987473,-0.0017489515012130141,0.228117267601192,,
38912,"{""0"": 103, ""1"": 189, ""2"": 275, ""3"": 98, ""4"": 213, ""5"": 146}",1.724862,2,0.268555,0.004388720728456974,0.122314453125,0.0962112,-1.7213570326566696,0.6078336238861084,0.000240528,0.04970923811197281,-0.002739148971159011,0.209543002769351,,
39936,"{""0"": 106, ""1"": 197, ""2"": 275, ""3"": 98, ""4"": 218, ""5"": 130}",1.720872,2,0.268555,0.0020813217852264643,0.080810546875,0.0961088,-1.720177561044693,0.5807194113731384,0.00024027199999999998,0.11056697368621826,-0.002057658915873617,0.2636203421279788,,
40960,"{""0"": 91, ""1"": 201, ""2"": 248, ""3"": 80, ""4"": 260, ""5"": 144}",1.701222,4,0.253906,0.0021295305341482162,0.05078125,0.0960064,-1.7106551229953766,0.4521567225456238,0.00024001600000000001,0.08512994647026062,-0.002074756135698408,0.2548821670934558,,
41984,"{""0"": 88, ""1"": 196, ""2"": 242, ""3"": 99, ""4"": 265, ""5"": 134}",1.71009,4,0.258789,0.0005385689437389374,0.007080078125,0.095904,-1.7080254331231117,0.40023452043533325,0.00023976,0.056839823722839355,0.00036763152456842363,0.2539407378062606,,
43008,"{""0"": 69, ""1"": 212, ""2"": 273, ""3"": 111, ""4"": 223, ""5"": 136}",1.701185,2,0.266602,0.0021045077592134476,0.060791015625,0.0958016,-1.6917543038725853,0.5954557657241821,0.000239504,0.04946272820234299,-0.0011685349454637617,0.18284850288182497,,
44032,"{""0"": 95, ""1"": 213, ""2"": 252, ""3"": 97, ""4"": 218, ""5"": 149}",1.725276,2,0.246094,0.0013470014091581106,0.043701171875,0.0956992,-1.7264312878251076,0.6534608602523804,0.00023924799999999998,0.04951959103345871,-0.0007068375125527382,0.1742886696010828,,
